Variable,Etiqueta,Codigo,Valor
g_hora,Grupo de hora,1,00:00 a 05:59
g_hora,Grupo de hora,2,06:00 a 11:59
g_hora,Grupo de hora,3,12:00 a 17:59
g_hora,Grupo de hora,4,18:00 a 23:59
g_hora_5,"Grupo de hora mañana, tarde y noche",1,Mañana
g_hora_6,"Grupo de hora mañana, tarde y noche",2,Tarde
g_hora_7,"Grupo de hora mañana, tarde y noche",3,Noche
mes_ocu,Mes de ocurrencia,1,Enero
mes_ocu,Mes de ocurrencia,2,Febrero
mes_ocu,Mes de ocurrencia,3,Marzo
mes_ocu,Mes de ocurrencia,4,Abril
mes_ocu,Mes de ocurrencia,5,Mayo
mes_ocu,Mes de ocurrencia,6,Junio
mes_ocu,Mes de ocurrencia,7,Julio
mes_ocu,Mes de ocurrencia,8,Agosto 
mes_ocu,Mes de ocurrencia,9,Septiembre
mes_ocu,Mes de ocurrencia,10,Octubre
mes_ocu,Mes de ocurrencia,11,Noviembre
mes_ocu,Mes de ocurrencia,12,Diciembre
día_sem_ocu,Día de la semana de ocurrencia,1,Lunes
día_sem_ocu,Día de la semana de ocurrencia,2,Martes
día_sem_ocu,Día de la semana de ocurrencia,3,Miércoles
día_sem_ocu,Día de la semana de ocurrencia,4,Jueves
día_sem_ocu,Día de la semana de ocurrencia,5,Viernes
día_sem_ocu,Día de la semana de ocurrencia,6,Sábado
día_sem_ocu,Día de la semana de ocurrencia,7,Domingo
depto_ocu,Departamento de ocurrencia,1,Guatemala
depto_ocu,Departamento de ocurrencia,2,El Progreso
depto_ocu,Departamento de ocurrencia,3,Sacatepéquez
depto_ocu,Departamento de ocurrencia,4,Chimaltenango
depto_ocu,Departamento de ocurrencia,5,Escuintla
depto_ocu,Departamento de ocurrencia,6,Santa Rosa
depto_ocu,Departamento de ocurrencia,7,Sololá
depto_ocu,Departamento de ocurrencia,8,Totonicapán
depto_ocu,Departamento de ocurrencia,9,Quetzaltenango
depto_ocu,Departamento de ocurrencia,10,Suchitepéquez
depto_ocu,Departamento de ocurrencia,11,Retalhuleu
depto_ocu,Departamento de ocurrencia,12,San Marcos
depto_ocu,Departamento de ocurrencia,13,Huehuetenango
depto_ocu,Departamento de ocurrencia,14,Quiché
depto_ocu,Departamento de ocurrencia,15,Baja Verapaz
depto_ocu,Departamento de ocurrencia,16,Alta Verapaz
depto_ocu,Departamento de ocurrencia,17,Petén
depto_ocu,Departamento de ocurrencia,18,Izabal
depto_ocu,Departamento de ocurrencia,19,Zacapa
depto_ocu,Departamento de ocurrencia,20,Chiquimula
depto_ocu,Departamento de ocurrencia,21,Jalapa
depto_ocu,Departamento de ocurrencia,22,Jutiapa
mupio_ocu,Municipio de ocurrencia,101,Guatemala 
