name,lat,lon
Panajachel,14.7421699,-91.1559757
San Lucas Tolimán,14.6332119,-91.1438125
Malacatán,14.910776,-92.0584743
Rabinal,15.0845459,-90.491712
La Blanca,14.5764398,-92.1420532
Mazatenango,14.533149,-91.5060031
Las Cruces,16.6592232,-90.2913996
La Libertad,16.7873999,-90.1183212
San Andrés,16.9729443,-89.9147002
Salamá,15.1021016,-90.3145505
Parramos,14.6093633,-90.8024162
Guatemala,14.6222328,-90.5185188
Jalapa,14.6344164,-89.9897996
El Tumbador,14.8635059,-91.9341368
Catarina,14.8505155,-92.0776244
Raxruhá,15.8638933,-90.0416426
Cahabón,15.606072,-89.8116704
San Juan Chamelco,15.4239493,-90.3298801
Santa Catarina La Tinta,15.3117609,-89.88583
Senahú,15.4159451,-89.8204888
Panzós,15.3984293,-89.6416841
Puerto Barrios,15.7275154,-88.5952506
La Reforma,14.8007056,-91.821009
Nuevo Progreso,14.7916455,-91.9199168
Ocós,14.5103644,-92.1942559
San Cristóbal Cucho,14.9049214,-91.7817781
San Rafael Pie de la Cuesta,14.9300016,-91.9149032
Chuarrancho,14.8197016,-90.5124653
Chinautla,14.7029187,-90.5000643
San Juan Sacatepéquez,14.7184317,-90.6434057
San Raymundo,14.764101,-90.5949354
Villa Canales,14.483333,-90.533333
Santa Catarina Pinula,14.5696471,-90.4978338
San Agustín Acasaguastlán,14.9447588,-89.9698974
El Rancho,14.915999,-90.0065329
San Juan Alotenango,14.4862632,-90.8045297
Santa María de Jesús,14.4939503,-90.7096377
San Miguel Dueñas,14.5226711,-90.7989423
San Antonio Aguas Calientes,14.5475521,-90.7812257
Ciudad Vieja,14.5236132,-90.7618554
Antigua Guatemala,14.5589875,-90.7333258
Magdalena Milpas Altas,14.5478142,-90.6747473
Santa Lucía Milpas Altas,14.5764168,-90.6770825
San Bartolomé Milpas Altas,14.6061073,-90.67881
Santiago Sacatepéquez,14.6348332,-90.6760466
San Lucas Sacatepéquez,14.6113383,-90.6549806
San Ildefonso Ixtahuacán,15.4171667,-91.7692407
La Democracia,15.625477,-91.886868
San Juan Ixcoy,15.5999144,-91.4467941
Nentón,15.8008963,-91.7549218
San Antonio Ilotenango,15.0555076,-91.2290681
Sacapulas,15.287977,-91.0896778
Canillá,15.1669697,-90.8518053
Pachalum,14.9256246,-90.6636006
Palín,14.4038394,-90.6971714
Santo Domingo Xenacoj,14.6806766,-90.7005493
Champerico,14.293651,-91.911813
San Rafael las Flores,14.476834,-90.1805305
Siquinalá,14.3075675,-90.9660625
Monjas,14.5031439,-89.8721351
Río Hondo,15.0442724,-89.585294
Esquipulas,14.5655225,-89.3508447
Asunción Mita,14.3332059,-89.7110973
San Vicente Pacaya,14.4147155,-90.63495
Colomba,14.707588,-91.731941
San Carlos Alzatate,14.497237,-90.0583913
Zaragoza,14.6497267,-90.8909403
Cajolá,14.9227109,-91.6149478
Santa Cruz del Quiché,15.0295098,-91.1496179
Dolores,16.5117548,-89.4161216
Concepción Tutuapa,15.2396989,-91.8442667
San Jerónimo,15.0612463,-90.2422012
Iztapa,13.9310474,-90.7145934
Los Amates,15.2553293,-89.0952899
Santa María Chiquimula,15.0296151,-91.329326
Casillas,14.418856,-90.243267
El Estor,15.5313737,-89.33241
Morales,15.47116,-88.8426325
San Andrés Itzapa,14.620779,-90.8441322
Atescatempa,14.1762807,-89.7408637
Concepción Huista,15.6241311,-91.6655355
Taxisco,14.068933,-90.4645806
Amatitlán,14.4792381,-90.6195248
Guazacapán,14.0724236,-90.4181432
San Mateo Ixtatán,15.8305484,-91.4764686
Cabañas,14.9344205,-89.7989854
Patzún,14.6812719,-91.0131044
Cunén,15.3366865,-91.0270279
San José el Ídolo,14.449616,-91.422036
San Marcos la Laguna,14.691599,-91.272016
Barrillas,15.8043835,-91.3154525
Pasaco,13.9787355,-90.2067526
Chicacao,14.5426883,-91.3266781
San Sebastián,14.5623016,-91.6487698
Gualán,15.1135594,-89.357656
Momostenango,15.0446901,-91.4080006
Santa Catarina Mita,14.4500211,-89.7420647
Todos Santos Cuchumatán,15.5095625,-91.6036416
San Cristóbal Verapaz,15.365843,-90.4777485
San Miguel Acatán,15.7039981,-91.5977242
Nueva Santa Rosa,14.3825235,-90.2815355
Cuyotenango,14.541995,-91.572307
San Miguel Uspantán,15.3469675,-90.8703939
Patulul,14.421275,-91.1606996
Cuilapa,14.276824,-90.2989113
Sayaxché,16.5242969,-90.1884154
Chiché,15.0093391,-91.0642833
San Pedro Carchá,15.4770773,-90.3107274
Livingston,15.8269659,-88.7508045
